index,A,W,ID
91,15.1875,0.5,4.9715
92,18.0,0.888889,4.4094
93,15.0,2.5,2.8074
94,20.25,1.0,4.4094
95,27.0,0.888889,4.9715
96,18.0,1.333333,3.858
97,12.0,0.888889,3.858
98,12.0,2.0,2.8074
99,8.0,0.888889,3.3219
100,18.0,1.333333,3.858
101,27.0,1.333333,4.4094
102,12.0,0.888889,3.858
103,27.0,1.333333,4.4094
104,27.0,2.0,3.858
105,20.25,1.0,4.4094
106,12.0,1.333333,3.3219
107,8.0,0.888889,3.3219
108,8.0,1.333333,2.8074
109,27.0,2.0,3.858
110,15.0,2.5,2.8074
111,12.0,1.333333,3.3219
112,27.0,0.888889,4.9715
113,12.0,1.333333,3.3219
114,30.375,1.0,4.9715
115,18.0,2.0,3.3219
116,12.0,0.888889,3.858
117,18.0,0.888889,4.4094
118,27.0,2.0,3.858
119,20.25,1.0,4.4094
120,18.0,2.0,3.3219
121,8.0,0.888889,3.3219
122,18.0,2.0,3.3219
123,30.375,1.0,4.9715
124,27.0,0.888889,4.9715
125,18.0,1.333333,3.858
126,15.1875,0.5,4.9715
127,12.0,2.0,2.8074
128,18.0,0.888889,4.4094
129,8.0,1.333333,2.8074
130,27.0,1.333333,4.4094
131,8.0,1.333333,2.8074
132,12.0,2.0,2.8074
133,30.375,1.0,4.9715
134,15.1875,0.5,4.9715
135,15.0,2.5,2.8074
