index,A,W,ID
1,8.0,0.888889,3.3219
2,12.0,1.333333,3.3219
3,27.0,1.333333,4.4094
4,30.375,1.0,4.9715
5,8.0,0.888889,3.3219
6,15.1875,0.5,4.9715
7,12.0,0.888889,3.858
8,12.0,2.0,2.8074
9,27.0,1.333333,4.4094
10,8.0,1.333333,2.8074
11,18.0,2.0,3.3219
12,12.0,2.0,2.8074
13,27.0,2.0,3.858
14,15.1875,0.5,4.9715
15,15.0,2.5,2.8074
16,8.0,1.333333,2.8074
17,27.0,1.333333,4.4094
18,8.0,0.888889,3.3219
19,20.25,1.0,4.4094
20,8.0,1.333333,2.8074
21,30.375,1.0,4.9715
22,18.0,1.333333,3.858
23,27.0,0.888889,4.9715
24,15.0,2.5,2.8074
25,18.0,0.888889,4.4094
26,27.0,2.0,3.858
27,18.0,1.333333,3.858
28,12.0,0.888889,3.858
29,20.25,1.0,4.4094
30,12.0,0.888889,3.858
31,18.0,2.0,3.3219
32,18.0,1.333333,3.858
33,12.0,1.333333,3.3219
34,18.0,2.0,3.3219
35,12.0,1.333333,3.3219
36,27.0,2.0,3.858
37,27.0,0.888889,4.9715
38,18.0,0.888889,4.4094
39,15.0,2.5,2.8074
40,18.0,0.888889,4.4094
41,20.25,1.0,4.4094
42,15.1875,0.5,4.9715
43,27.0,0.888889,4.9715
44,12.0,2.0,2.8074
45,30.375,1.0,4.9715
46,27.0,0.888889,4.9715
47,12.0,0.888889,3.858
48,8.0,0.888889,3.3219
49,18.0,2.0,3.3219
50,27.0,2.0,3.858
51,18.0,2.0,3.3219
52,12.0,1.333333,3.3219
53,8.0,1.333333,2.8074
54,27.0,0.888889,4.9715
55,18.0,0.888889,4.4094
56,30.375,1.0,4.9715
57,15.1875,0.5,4.9715
58,12.0,0.888889,3.858
59,27.0,1.333333,4.4094
60,15.0,2.5,2.8074
61,12.0,1.333333,3.3219
62,12.0,2.0,2.8074
63,15.0,2.5,2.8074
64,27.0,1.333333,4.4094
65,18.0,0.888889,4.4094
66,18.0,1.333333,3.858
67,30.375,1.0,4.9715
68,18.0,0.888889,4.4094
69,20.25,1.0,4.4094
70,30.375,1.0,4.9715
71,12.0,1.333333,3.3219
72,18.0,2.0,3.3219
73,8.0,1.333333,2.8074
74,12.0,2.0,2.8074
75,27.0,0.888889,4.9715
76,18.0,1.333333,3.858
77,8.0,0.888889,3.3219
78,18.0,1.333333,3.858
79,27.0,2.0,3.858
80,15.0,2.5,2.8074
81,27.0,1.333333,4.4094
82,12.0,0.888889,3.858
83,27.0,2.0,3.858
84,12.0,2.0,2.8074
85,20.25,1.0,4.4094
86,15.1875,0.5,4.9715
87,20.25,1.0,4.4094
88,15.1875,0.5,4.9715
89,8.0,1.333333,2.8074
90,8.0,0.888889,3.3219
91,15.1875,0.5,4.9715
92,18.0,0.888889,4.4094
93,15.0,2.5,2.8074
94,20.25,1.0,4.4094
95,27.0,0.888889,4.9715
96,18.0,1.333333,3.858
97,12.0,0.888889,3.858
98,12.0,2.0,2.8074
99,8.0,0.888889,3.3219
100,18.0,1.333333,3.858
101,27.0,1.333333,4.4094
102,12.0,0.888889,3.858
103,27.0,1.333333,4.4094
104,27.0,2.0,3.858
105,20.25,1.0,4.4094
106,12.0,1.333333,3.3219
107,8.0,0.888889,3.3219
108,8.0,1.333333,2.8074
109,27.0,2.0,3.858
110,15.0,2.5,2.8074
111,12.0,1.333333,3.3219
112,27.0,0.888889,4.9715
113,12.0,1.333333,3.3219
114,30.375,1.0,4.9715
115,18.0,2.0,3.3219
116,12.0,0.888889,3.858
117,18.0,0.888889,4.4094
118,27.0,2.0,3.858
119,20.25,1.0,4.4094
120,18.0,2.0,3.3219
121,8.0,0.888889,3.3219
122,18.0,2.0,3.3219
123,30.375,1.0,4.9715
124,27.0,0.888889,4.9715
125,18.0,1.333333,3.858
126,15.1875,0.5,4.9715
127,12.0,2.0,2.8074
128,18.0,0.888889,4.4094
129,8.0,1.333333,2.8074
130,27.0,1.333333,4.4094
131,8.0,1.333333,2.8074
132,12.0,2.0,2.8074
133,30.375,1.0,4.9715
134,15.1875,0.5,4.9715
135,15.0,2.5,2.8074
136,27.0,2.0,3.858
137,30.375,1.0,4.9715
138,8.0,1.333333,2.8074
139,18.0,1.333333,3.858
140,15.0,2.5,2.8074
141,20.25,1.0,4.4094
142,8.0,0.888889,3.3219
143,18.0,1.333333,3.858
144,18.0,2.0,3.3219
145,8.0,1.333333,2.8074
146,12.0,0.888889,3.858
147,12.0,2.0,2.8074
148,8.0,1.333333,2.8074
149,8.0,0.888889,3.3219
150,27.0,0.888889,4.9715
151,15.1875,0.5,4.9715
152,27.0,1.333333,4.4094
153,15.0,2.5,2.8074
154,12.0,2.0,2.8074
155,20.25,1.0,4.4094
156,15.1875,0.5,4.9715
157,18.0,0.888889,4.4094
158,12.0,1.333333,3.3219
159,18.0,2.0,3.3219
160,12.0,0.888889,3.858
161,15.1875,0.5,4.9715
162,27.0,2.0,3.858
163,27.0,0.888889,4.9715
164,27.0,1.333333,4.4094
165,18.0,0.888889,4.4094
166,27.0,1.333333,4.4094
167,12.0,2.0,2.8074
168,30.375,1.0,4.9715
169,8.0,0.888889,3.3219
170,18.0,0.888889,4.4094
171,27.0,2.0,3.858
172,27.0,0.888889,4.9715
173,12.0,1.333333,3.3219
174,20.25,1.0,4.4094
175,12.0,1.333333,3.3219
176,15.0,2.5,2.8074
177,18.0,1.333333,3.858
178,12.0,0.888889,3.858
179,30.375,1.0,4.9715
180,18.0,2.0,3.3219
